名称,種類,識別番号,数値1,数値2,数値3,個数,備考,データシート
"LED(赤)","LED","23","","","","3","",""
"RBV-604","ブリッジダイオード","","400","6.0","","1","","https://www.alldatasheet.jp/datasheet-pdf/download/38178/SANKEN/RBV-604.html"
